epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.41449,1.77265,5.04217,1.82477,0.92109,0.03571,0.08208,0.0584,1.53144,3.95746,1.64084,1.251e-05,1.251e-05,1.251e-05
2,3.85295,1.66636,4.89591,1.7117,0.732,0.13095,0.16944,0.08764,1.49493,3.51831,1.59952,2.89973e-05,2.89973e-05,2.89973e-05
3,5.88587,1.62291,4.05003,1.69549,0.53106,0.26862,0.31982,0.16555,1.44498,2.73099,1.50422,4.52645e-05,4.52645e-05,4.52645e-05
4,7.84282,1.39479,3.1816,1.49133,0.65345,0.45283,0.50576,0.29295,1.43258,2.09368,1.44355,6.13115e-05,6.13115e-05,6.13115e-05
5,9.79964,1.35631,2.67857,1.46966,0.78429,0.50083,0.64349,0.40988,1.44373,1.82775,1.44903,7.71383e-05,7.71383e-05,7.71383e-05
6,11.6682,1.26801,2.14569,1.3971,0.64806,0.67158,0.71861,0.45447,1.44259,1.68328,1.44916,9.2745e-05,9.2745e-05,9.2745e-05
7,13.9228,1.26716,1.89146,1.38658,0.64056,0.76012,0.7714,0.49133,1.3426,1.50247,1.38267,0.000108131,0.000108131,0.000108131
8,15.8996,1.21953,1.67002,1.33618,0.76255,0.79607,0.84296,0.51801,1.30638,1.43603,1.34753,0.000123298,0.000123298,0.000123298
9,17.9597,1.16891,1.58963,1.28698,0.76822,0.77783,0.85416,0.54299,1.30947,1.43034,1.32744,0.000138244,0.000138244,0.000138244
10,19.8483,1.16675,1.53604,1.27204,0.78568,0.81678,0.84374,0.53234,1.30396,1.3278,1.31915,0.00015297,0.00015297,0.00015297
11,21.5092,1.0776,1.33898,1.21496,0.82782,0.80616,0.85562,0.54462,1.29836,1.22904,1.31346,0.000167476,0.000167476,0.000167476
12,23.4585,1.18323,1.4449,1.27563,0.85487,0.79929,0.84564,0.54287,1.28181,1.15105,1.3059,0.000181761,0.000181761,0.000181761
13,25.0527,1.09263,1.31716,1.21631,0.83953,0.79797,0.83239,0.52319,1.28511,1.09783,1.31276,0.000195827,0.000195827,0.000195827
14,26.7023,1.12378,1.26444,1.22697,0.83831,0.80963,0.83714,0.52256,1.31906,1.02842,1.33276,0.000209672,0.000209672,0.000209672
15,28.4064,1.08286,1.17083,1.199,0.79714,0.80765,0.844,0.53063,1.35707,0.99755,1.35084,0.000223297,0.000223297,0.000223297
16,30.0278,1.04659,1.208,1.19248,0.79714,0.80765,0.844,0.53063,1.35707,0.99755,1.35084,0.000236702,0.000236702,0.000236702
17,31.7533,1.01714,1.14706,1.1696,0.82152,0.81733,0.88269,0.53963,1.39135,0.99105,1.40814,0.000249886,0.000249886,0.000249886
18,33.6918,1.03281,1.12693,1.15674,0.83306,0.80143,0.90623,0.58249,1.38809,1.02494,1.42928,0.000262851,0.000262851,0.000262851
19,37.0674,1.02584,1.07152,1.18666,0.83306,0.80143,0.90623,0.58249,1.38809,1.02494,1.42928,0.000275595,0.000275595,0.000275595
20,38.8961,0.95756,0.99099,1.15245,0.82396,0.80153,0.89999,0.5646,1.31703,0.98709,1.39677,0.000288119,0.000288119,0.000288119
21,40.4779,0.94846,1.03708,1.13045,0.79928,0.80406,0.88802,0.57878,1.31716,0.92162,1.41183,0.000300423,0.000300423,0.000300423
22,42.0734,0.99664,1.05634,1.14975,0.79928,0.80406,0.88802,0.57878,1.31716,0.92162,1.41183,0.000312507,0.000312507,0.000312507
23,43.7062,0.99166,1.01296,1.16287,0.81823,0.80407,0.90714,0.58047,1.33721,0.95038,1.40054,0.000324371,0.000324371,0.000324371
24,45.3277,0.98651,1.00915,1.17674,0.81823,0.80407,0.90714,0.58047,1.33721,0.95038,1.40054,0.000336014,0.000336014,0.000336014
25,46.9523,0.9467,0.95518,1.13171,0.6705,0.93214,0.88787,0.55155,1.35992,0.95569,1.43487,0.000347438,0.000347438,0.000347438
26,48.5494,0.97888,0.99659,1.14932,0.6705,0.93214,0.88787,0.55155,1.35992,0.95569,1.43487,0.000348195,0.000348195,0.000348195
27,50.1578,0.93647,0.97718,1.12511,0.84355,0.8012,0.90149,0.56106,1.38257,0.90614,1.46368,0.000345443,0.000345443,0.000345443
28,51.743,0.90984,0.93852,1.11457,0.84355,0.8012,0.90149,0.56106,1.38257,0.90614,1.46368,0.000342691,0.000342691,0.000342691
