epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.84363,1.85845,5.21916,1.93336,0.92118,0.03571,0.08202,0.05839,1.6323,4.054,1.75041,0.097045,4.5e-05,4.5e-05
2,4.30759,1.76891,4.19445,1.84725,0.30932,0.24391,0.17197,0.11754,1.78179,4.14747,1.97626,0.0931043,0.000104307,0.000104307
3,6.9078,1.53764,2.55574,1.66127,0.13104,0.63095,0.40222,0.24964,1.67397,4.26618,1.82473,0.0891628,0.000162822,0.000162822
4,8.84238,1.44555,1.9838,1.60231,0.5971,0.43607,0.42215,0.27065,1.59244,3.09699,1.69104,0.0852205,0.000220545,0.000220545
5,10.7115,1.32909,1.64989,1.4457,0.77016,0.36942,0.49285,0.31471,1.54715,2.42942,1.66704,0.0812775,0.000277476,0.000277476
6,12.569,1.29882,1.36431,1.45909,0.83186,0.32293,0.52868,0.34413,1.60341,2.34131,1.69406,0.0773336,0.000333615,0.000333615
7,14.4162,1.3248,1.30873,1.47406,0.76069,0.45091,0.64396,0.41197,1.5451,1.84809,1.60651,0.073389,0.000388962,0.000388962
8,16.2445,1.25255,1.16186,1.39903,0.59381,0.63036,0.71705,0.43969,1.52042,1.55046,1.63678,0.0694435,0.000443517,0.000443517
9,18.076,1.18851,1.08944,1.367,0.51302,0.66845,0.75547,0.43519,1.4601,1.56347,1.6312,0.0654973,0.00049728,0.00049728
10,19.6944,1.22227,1.14384,1.41503,0.57758,0.70131,0.79951,0.45232,1.48478,1.53264,1.67238,0.0615503,0.000550251,0.000550251
11,21.5337,1.21243,1.04935,1.38827,0.62865,0.71257,0.8077,0.45005,1.50689,1.48706,1.66976,0.0576024,0.00060243,0.00060243
12,23.139,1.23151,1.02298,1.37947,0.66767,0.75198,0.75474,0.43863,1.53319,1.53017,1.66125,0.0536538,0.000653817,0.000653817
13,24.7421,1.21349,0.98277,1.35599,0.54953,0.72999,0.66482,0.4094,1.55314,1.55391,1.70854,0.0497044,0.000704412,0.000704412
14,26.3141,1.25565,1.10815,1.41692,0.63817,0.71248,0.74433,0.41018,1.55899,1.57102,1.7015,0.0457542,0.000754215,0.000754215
15,28.2553,1.16539,0.96476,1.34074,0.79253,0.61659,0.79003,0.46392,1.50924,1.49415,1.68592,0.0418032,0.000803226,0.000803226
16,30.4966,1.14496,0.93542,1.33008,0.79253,0.61659,0.79003,0.46392,1.50924,1.49415,1.68592,0.0378514,0.000851445,0.000851445
17,32.3209,1.16454,0.92646,1.34336,0.79292,0.70778,0.85341,0.5226,1.51161,1.18076,1.73191,0.0338989,0.000898872,0.000898872
18,34.2017,1.17845,0.97616,1.34529,0.65488,0.91069,0.88457,0.54145,1.44705,1.21562,1.67603,0.0299455,0.000945507,0.000945507
19,35.987,1.17271,0.99841,1.35982,0.65488,0.91069,0.88457,0.54145,1.44705,1.21562,1.67603,0.0259913,0.00099135,0.00099135
20,37.8022,1.08472,0.89735,1.29021,0.68313,0.78197,0.87276,0.54152,1.45065,1.19534,1.69524,0.0220364,0.0010364,0.0010364
21,39.41,1.16482,0.96023,1.32565,0.64308,0.93,0.8909,0.53048,1.46152,1.33314,1.74026,0.0180807,0.00108066,0.00108066
22,41.0015,1.07944,0.89789,1.31466,0.64308,0.93,0.8909,0.53048,1.46152,1.33314,1.74026,0.0141241,0.00112413,0.00112413
23,42.6288,1.01103,0.79514,1.26163,0.57847,0.89561,0.83955,0.52219,1.51256,1.39715,1.83965,0.0101668,0.0011668,0.0011668
24,44.2112,1.04197,0.83943,1.27654,0.57847,0.89561,0.83955,0.52219,1.51256,1.39715,1.83965,0.00620869,0.00120868,0.00120868
25,45.8022,1.0416,0.8234,1.27435,0.7899,0.68222,0.86307,0.51292,1.50389,1.40537,1.84574,0.00224978,0.00124978,0.00124978
26,47.3871,1.10115,0.80853,1.27687,0.7899,0.68222,0.86307,0.51292,1.50389,1.40537,1.84574,0.0012525,0.0012525,0.0012525
27,49.0303,1.11926,0.83575,1.29758,0.5815,0.94464,0.86258,0.55062,1.37715,1.55991,1.69027,0.0012426,0.0012426,0.0012426
