fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,box,cls,dfl,mixup,degrees,translate,scale,hsv_v,hsv_s,mosaic,fliplr,hsv_h
0.61096,0.0015,0.01,0.937,0.0005,3.0,7.5,0.5,1.5,0.08,1,0.025,0.12,0.25,0.12,1.0,0.0,0.0
0.62534,0.0015,0.01027,0.92,0.00046,2.56697,7.0,0.51104,1.4,0.08,1.15158,0.025,0.12,0.21293,0.11056,1.0,0.0,0.0
0.61953,0.0015,0.01,0.95,0.00043,2.57674,7.0,0.51015,1.4,0.08,1.15158,0.025,0.12,0.21293,0.11008,1.0,0.0,0.0
0.64029,0.0015,0.01062,0.92,0.00043,2.71118,7.17814,0.51036,1.47415,0.08779,1.01677,0.025,0.12,0.18483,0.09588,1.0,0.0,0.0
0.62563,0.00149,0.01062,0.92,0.00044,2.71118,7.19509,0.48147,1.44355,0.08769,1,0.02488,0.12,0.19914,0.09588,1.0,0.0,0.0
0.6236,0.0015,0.01,0.92,0.0006,2.9226,7.0,0.55,1.47415,0.09616,1,0.01932,0.12,0.25,0.09474,1.0,0.0,0.0
0.64789,0.0015,0.01,0.92,0.00054,2.88908,8.0,0.51254,1.57779,0.08,1.05359,0.02128,0.12,0.25,0.11943,1.0,0.0,0.0
0.65288,0.0015,0.01013,0.9204,0.00054,2.89036,8.0,0.51813,1.58913,0.08098,1.06168,0.02131,0.11887,0.25,0.1181,1.0,0.0,0.0
0.61925,0.0015,0.01013,0.92447,0.00054,2.89036,7.9421,0.51732,1.58548,0.08086,1.05794,0.02131,0.11829,0.24869,0.1181,1.0,0.0,0.0
0.64341,0.0015,0.01,0.95,0.00047,2.88908,8.0,0.55,1.6,0.08,1,0.01657,0.12,0.23415,0.11757,1.0,0.0,0.0
0.64661,0.00137,0.01,0.92,0.00051,2.98524,7.56289,0.46773,1.57779,0.08,1.05359,0.0185,0.12,0.25,0.11943,1.0,0.0,0.0
0.64136,0.0015,0.01,0.95,0.00047,2.77854,8.0,0.55,1.45803,0.08257,1,0.01523,0.101,0.24139,0.11757,1.0,0.0,0.0
0.6546,0.0015,0.01,0.92,0.00054,2.97198,8.0,0.51254,1.6,0.08,1,0.02382,0.12,0.22092,0.11943,1.0,0.0,0.0
0.63166,0.00118,0.01115,0.95,0.00054,2.55271,7.0,0.45,1.4,0.09456,1,0.02097,0.12,0.25,0.09866,1.0,0.0,0.0
0.64922,0.00123,0.01,0.92,0.00062,3.17641,7.0,0.55,1.6,0.08,1.28962,0.02128,0.12,0.25,0.11085,1.0,0.0,0.0
0.6335,0.00123,0.01,0.92,0.00056,3.40885,7.0,0.55,1.6,0.08,1.28962,0.02309,0.11952,0.25,0.11085,1.0,0.0,0.0
0.64462,0.00123,0.01,0.95,0.00051,3.51231,7.26728,0.55,1.6,0.08,1.28962,0.02128,0.12,0.25,0.11085,1.0,0.0,0.0
0.62894,0.00131,0.01,0.92,0.00063,3.17641,7.62166,0.53765,1.48739,0.08389,1.24441,0.02128,0.12,0.25,0.12,1.0,0.0,0.0
0.62707,0.0014,0.01013,0.9339,0.00051,2.8147,8.0,0.55,1.6,0.08,1.07657,0.0204,0.11887,0.25,0.12,1.0,0.0,0.0
0.62095,0.00115,0.01,0.95,0.00062,3.44671,7.0,0.55,1.6,0.08,1.25952,0.02148,0.12,0.24002,0.10881,1.0,0.0,0.0
0.60977,0.0015,0.01001,0.9204,0.00053,3.22716,7.0,0.45,1.6,0.08,1,0.02131,0.11399,0.23753,0.12,1.0,0.0,0.0
0.61475,0.00148,0.01,0.92,0.00054,2.94851,8.0,0.51707,1.6,0.08026,1.0,0.02396,0.12,0.21922,0.12,1.0,0.0,0.0
0.62513,0.0015,0.01,0.92,0.00053,2.6032,8.0,0.51254,1.4,0.08,1.12935,0.02295,0.12,0.22494,0.11966,1.0,0.0,0.0
0.6375,0.0015,0.01125,0.9204,0.00056,2.8351,7.17735,0.54994,1.50135,0.09263,1.02585,0.02128,0.11887,0.25,0.11584,1.0,0.0,0.0
0.62205,0.00122,0.01059,0.95,0.00062,2.47399,7.47272,0.45,1.4,0.08,1.64531,0.01935,0.12,0.19837,0.1011,1.0,0.0,0.0
0.60692,0.0015,0.0107,0.95,0.00043,2.13332,8.0,0.55,1.41775,0.08449,1,0.02382,0.11267,0.22092,0.11856,1.0,0.0,0.0
0.63991,0.0015,0.01198,0.92432,0.00054,3.1106,7.63778,0.50163,1.53705,0.08,1.0697,0.02382,0.12,0.21206,0.11943,1.0,0.0,0.0
0.64806,0.00147,0.01,0.92,0.00062,2.75714,7.0,0.45,1.531,0.08113,1.4535,0.01998,0.12,0.22932,0.12,1.0,0.0,0.0
0.61085,0.0015,0.01019,0.9204,0.00068,2.90506,8.0,0.50104,1.51177,0.08603,1.03866,0.02052,0.12,0.2451,0.11024,1.0,0.0,0.0
0.62644,0.00148,0.01022,0.92702,0.00053,2.89036,7.99731,0.51537,1.58913,0.08023,1.06237,0.02163,0.11887,0.25,0.1181,1.0,0.0,0.0
